metric,value,sd
SDCA_R2,0.7881566982408008,0.0554049936144836
SDCA_AdjR2,0.7868688970143012,
SDCA_RMSE,1694763.7989203935,185210.75689117037
SDCA_MAE,1209750.2885318513,120837.1665231781
OLS_R2,0.7788679768192741,0.05827703839894377
OLS_RMSE,1734215.3199368857,192769.3728473796
RF_R2,0.7917457321986855,0.04799826280700266
RF_RMSE,1685854.0089054536,227615.46933911764
Permutation_p,0.0,
Temporal_R2,0.7040617181712943,
DurbinWatson,1.99686677802473,
BreuschPagan_p,0.0001828621872641926,
